opcode,name,stack_effect,flags
0,CACHE,0,
1,BINARY_SLICE,-2,ESCAPES
2,BUILD_TEMPLATE,-1,ESCAPES
3,BINARY_OP_INPLACE_ADD_UNICODE,-2,LOCAL|ESCAPES
4,CALL_FUNCTION_EX,-3,ESCAPES
5,CHECK_EG_MATCH,0,ESCAPES
6,CHECK_EXC_MATCH,0,ESCAPES
7,CLEANUP_THROW,-1,ESCAPES
8,DELETE_SUBSCR,-2,ESCAPES
9,END_FOR,-1,ESCAPES
10,END_SEND,-1,ESCAPES
11,EXIT_INIT_CHECK,-1,ESCAPES
12,FORMAT_SIMPLE,0,ESCAPES
13,FORMAT_WITH_SPEC,-1,ESCAPES
14,GET_AITER,0,ESCAPES
15,GET_ANEXT,1,ESCAPES
16,GET_ITER,0,ESCAPES
17,RESERVED,0,
18,GET_LEN,1,ESCAPES
19,GET_YIELD_FROM_ITER,0,ESCAPES
20,INTERPRETER_EXIT,-1,ESCAPES
21,LOAD_BUILD_CLASS,1,ESCAPES
22,LOAD_LOCALS,1,ESCAPES
23,MAKE_FUNCTION,0,ESCAPES
24,MATCH_KEYS,1,ESCAPES
25,MATCH_MAPPING,1,
26,MATCH_SEQUENCE,1,
27,NOP,0,
28,NOT_TAKEN,0,
29,POP_EXCEPT,-1,ESCAPES
30,POP_ITER,-1,ESCAPES
31,POP_TOP,-1,ESCAPES
32,PUSH_EXC_INFO,1,
33,PUSH_NULL,1,
34,RETURN_GENERATOR,1,ESCAPES
35,RETURN_VALUE,0,ESCAPES
36,SETUP_ANNOTATIONS,0,ESCAPES
37,STORE_SLICE,-4,ESCAPES
38,STORE_SUBSCR,-3,ESCAPES
39,TO_BOOL,0,ESCAPES
40,UNARY_INVERT,0,ESCAPES
41,UNARY_NEGATIVE,0,ESCAPES
42,UNARY_NOT,0,
43,WITH_EXCEPT_START,1,ESCAPES
44,BINARY_OP,-1,ARG|ESCAPES
45,BUILD_INTERPOLATION,0,DYNAMIC_STACK|ARG|ESCAPES
46,BUILD_LIST,0,DYNAMIC_STACK|ARG|ESCAPES
47,BUILD_MAP,0,DYNAMIC_STACK|ARG|ESCAPES
48,BUILD_SET,0,DYNAMIC_STACK|ARG|ESCAPES
49,BUILD_SLICE,0,DYNAMIC_STACK|ARG
50,BUILD_STRING,0,DYNAMIC_STACK|ARG
51,BUILD_TUPLE,0,DYNAMIC_STACK|ARG
52,CALL,0,DYNAMIC_STACK|ARG|ESCAPES
53,CALL_INTRINSIC_1,0,ARG|ESCAPES
54,CALL_INTRINSIC_2,-1,ARG|ESCAPES
55,CALL_KW,0,DYNAMIC_STACK|ARG|ESCAPES
56,COMPARE_OP,-1,ARG|ESCAPES
57,CONTAINS_OP,-1,ARG|ESCAPES
58,CONVERT_VALUE,0,ARG|ESCAPES
59,COPY,1,ARG
60,COPY_FREE_VARS,0,ARG
61,DELETE_ATTR,-1,ARG|NAME|ESCAPES
62,DELETE_DEREF,0,ARG|FREE|ESCAPES
63,DELETE_FAST,0,ARG|LOCAL|ESCAPES
64,DELETE_GLOBAL,0,ARG|NAME|ESCAPES
65,DELETE_NAME,0,ARG|NAME|ESCAPES
66,DICT_MERGE,-1,ARG|ESCAPES
67,DICT_UPDATE,-1,ARG|ESCAPES
68,END_ASYNC_FOR,-2,ARG|JUMP|ESCAPES
69,EXTENDED_ARG,0,ARG
70,FOR_ITER,1,ARG|JUMP|ESCAPES
71,GET_AWAITABLE,0,ARG|ESCAPES
72,IMPORT_FROM,1,ARG|NAME|ESCAPES
73,IMPORT_NAME,-1,ARG|NAME|ESCAPES
74,IS_OP,-1,ARG
75,JUMP_BACKWARD,0,ARG|JUMP|ESCAPES
76,JUMP_BACKWARD_NO_INTERRUPT,0,ARG|JUMP
77,JUMP_FORWARD,0,ARG|JUMP
78,LIST_APPEND,-1,ARG
79,LIST_EXTEND,-1,ARG|ESCAPES
80,LOAD_ATTR,0,DYNAMIC_STACK|ARG|NAME|ESCAPES
81,LOAD_COMMON_CONSTANT,1,ARG
82,LOAD_CONST,1,ARG|CONST
83,LOAD_DEREF,1,ARG|LOCAL|ESCAPES
84,LOAD_FAST,1,ARG|LOCAL
85,LOAD_FAST_AND_CLEAR,1,ARG|LOCAL
86,LOAD_FAST_BORROW,1,ARG|LOCAL
87,LOAD_FAST_BORROW_LOAD_FAST_BORROW,2,ARG|LOCAL
88,LOAD_FAST_CHECK,1,ARG|LOCAL|ESCAPES
89,LOAD_FAST_LOAD_FAST,2,ARG|LOCAL
90,LOAD_FROM_DICT_OR_DEREF,0,ARG|FREE|ESCAPES
91,LOAD_FROM_DICT_OR_GLOBALS,0,ARG|NAME|ESCAPES
92,LOAD_GLOBAL,0,DYNAMIC_STACK|ARG|NAME|ESCAPES
93,LOAD_NAME,1,ARG|NAME|ESCAPES
94,LOAD_SMALL_INT,1,ARG
95,LOAD_SPECIAL,1,ARG|ESCAPES
96,LOAD_SUPER_ATTR,0,DYNAMIC_STACK|ARG|NAME|ESCAPES
97,MAKE_CELL,0,ARG|FREE|ESCAPES
98,MAP_ADD,-2,ARG|ESCAPES
99,MATCH_CLASS,-2,ARG|ESCAPES
100,POP_JUMP_IF_FALSE,-1,ARG|JUMP
101,POP_JUMP_IF_NONE,-1,ARG|JUMP
102,POP_JUMP_IF_NOT_NONE,-1,ARG|JUMP
103,POP_JUMP_IF_TRUE,-1,ARG|JUMP
104,RAISE_VARARGS,0,DYNAMIC_STACK|ARG|ESCAPES
105,RERAISE,-1,ARG|ESCAPES
106,SEND,0,ARG|JUMP|ESCAPES
107,SET_ADD,-1,ARG|ESCAPES
108,SET_FUNCTION_ATTRIBUTE,-1,ARG
109,SET_UPDATE,-1,ARG|ESCAPES
110,STORE_ATTR,-2,ARG|NAME|ESCAPES
111,STORE_DEREF,-1,ARG|FREE|ESCAPES
112,STORE_FAST,-1,ARG|LOCAL|ESCAPES
113,STORE_FAST_LOAD_FAST,0,ARG|LOCAL|ESCAPES
114,STORE_FAST_STORE_FAST,-2,ARG|LOCAL|ESCAPES
115,STORE_GLOBAL,-1,ARG|NAME|ESCAPES
116,STORE_NAME,-1,ARG|NAME|ESCAPES
117,SWAP,0,ARG
118,UNPACK_EX,0,DYNAMIC_STACK|ARG|ESCAPES
119,UNPACK_SEQUENCE,0,DYNAMIC_STACK|ARG|ESCAPES
120,YIELD_VALUE,0,ARG
128,RESUME,0,ARG|ESCAPES
129,BINARY_OP_ADD_FLOAT,-1,
130,BINARY_OP_ADD_INT,-1,ESCAPES
131,BINARY_OP_ADD_UNICODE,-1,
132,BINARY_OP_EXTEND,-1,ESCAPES
133,BINARY_OP_MULTIPLY_FLOAT,-1,
134,BINARY_OP_MULTIPLY_INT,-1,ESCAPES
135,BINARY_OP_SUBSCR_DICT,-1,ESCAPES
136,BINARY_OP_SUBSCR_GETITEM,-2,
137,BINARY_OP_SUBSCR_LIST_INT,-1,ESCAPES
138,BINARY_OP_SUBSCR_LIST_SLICE,-1,ESCAPES
139,BINARY_OP_SUBSCR_STR_INT,-1,ESCAPES
140,BINARY_OP_SUBSCR_TUPLE_INT,-1,
141,BINARY_OP_SUBTRACT_FLOAT,-1,
142,BINARY_OP_SUBTRACT_INT,-1,ESCAPES
143,CALL_ALLOC_AND_ENTER_INIT,0,DYNAMIC_STACK|ARG|ESCAPES
144,CALL_BOUND_METHOD_EXACT_ARGS,0,DYNAMIC_STACK|ARG|ESCAPES
145,CALL_BOUND_METHOD_GENERAL,0,DYNAMIC_STACK|ARG|ESCAPES
146,CALL_BUILTIN_CLASS,0,DYNAMIC_STACK|ARG|ESCAPES
147,CALL_BUILTIN_FAST,0,DYNAMIC_STACK|ARG|ESCAPES
148,CALL_BUILTIN_FAST_WITH_KEYWORDS,0,DYNAMIC_STACK|ARG|ESCAPES
149,CALL_BUILTIN_O,0,DYNAMIC_STACK|ARG|ESCAPES
150,CALL_ISINSTANCE,0,DYNAMIC_STACK|ARG|ESCAPES
151,CALL_KW_BOUND_METHOD,0,DYNAMIC_STACK|ARG|ESCAPES
152,CALL_KW_NON_PY,0,DYNAMIC_STACK|ARG|ESCAPES
153,CALL_KW_PY,0,DYNAMIC_STACK|ARG|ESCAPES
154,CALL_LEN,-2,ESCAPES
155,CALL_LIST_APPEND,-3,ARG|ESCAPES
156,CALL_METHOD_DESCRIPTOR_FAST,0,DYNAMIC_STACK|ARG|ESCAPES
157,CALL_METHOD_DESCRIPTOR_FAST_WITH_KEYWORDS,0,DYNAMIC_STACK|ARG|ESCAPES
158,CALL_METHOD_DESCRIPTOR_NOARGS,0,DYNAMIC_STACK|ARG|ESCAPES
